 2022-Oct-03 00:00,*,m, 00 34 49.02, +03 30 55.4,
 2022-Oct-04 00:00,*,m, 00 38 28.02, +03 54 06.8,
 2022-Oct-05 00:00,*,m, 00 42 09.16, +04 17 30.2,
 2022-Oct-06 00:00,*,m, 00 45 52.30, +04 41 04.3,
 2022-Oct-07 00:00,*, , 00 49 37.23, +05 04 46.8,
 2022-Oct-08 00:00,*, , 00 53 23.64, +05 28 35.1,
 2022-Oct-09 00:00,*, , 00 57 11.19, +05 52 25.8,
 2022-Oct-10 00:00,*, , 01 00 59.50, +06 16 15.3,
 2022-Oct-11 00:00,*, , 01 04 48.21, +06 40 00.1,
 2022-Oct-12 00:00,*, , 01 08 36.97, +07 03 36.8,
 2022-Oct-13 00:00,*, , 01 12 25.49, +07 27 02.3,
 2022-Oct-14 00:00,*, , 01 16 13.52, +07 50 14.1,
 2022-Oct-15 00:00,*, , 01 20 00.87, +08 13 10.1,
 2022-Oct-16 00:00,*, , 01 23 47.40, +08 35 48.5,
 2022-Oct-17 00:00,*, , 01 27 33.01, +08 58 08.0,
 2022-Oct-18 00:00,*, , 01 31 17.66, +09 20 07.8,
 2022-Oct-19 00:00,*, , 01 35 01.33, +09 41 47.4,
 2022-Oct-20 00:00,*, , 01 38 44.07, +10 03 06.7,
 2022-Oct-21 00:00,*, , 01 42 25.96, +10 24 05.9,
 2022-Oct-22 00:00,*, , 01 46 07.13, +10 44 45.7,
 2022-Oct-23 00:00,*,m, 01 49 47.79, +11 05 07.2,
 2022-Oct-24 00:00,*,m, 01 53 28.19, +11 25 12.2,
 2022-Oct-25 00:00,*,m, 01 57 08.67, +11 45 02.6,
 2022-Oct-26 00:00,*,m, 02 00 49.61, +12 04 41.1,
 2022-Oct-27 00:00,*,m, 02 04 31.46, +12 24 10.4,
 2022-Oct-28 00:00,*,m, 02 08 14.65, +12 43 33.1,
 2022-Oct-29 00:00,*,m, 02 11 59.64, +13 02 51.9,
 2022-Oct-30 00:00,*,m, 02 15 46.78, +13 22 08.8,
 2022-Oct-31 00:00,*,m, 02 19 36.40, +13 41 25.2,
 2022-Nov-01 00:00,*,m, 02 23 28.68, +14 00 41.7,
 2022-Nov-02 00:00,*,m, 02 27 23.71, +14 19 57.9,
 2022-Nov-03 00:00,*,m, 02 31 21.49, +14 39 12.9,
 2022-Nov-04 00:00,*,m, 02 35 21.88, +14 58 24.9,
 2022-Nov-05 00:00,*,m, 02 39 24.68, +15 17 31.6,
 2022-Nov-06 00:00,*,m, 02 43 29.62, +15 36 30.3,
 2022-Nov-07 00:00,*, , 02 47 36.36, +15 55 18.1,
 2022-Nov-08 00:00,*, , 02 51 44.54, +16 13 51.9,
 2022-Nov-09 00:00,*, , 02 55 53.79, +16 32 08.7,
 2022-Nov-10 00:00,*, , 03 00 03.75, +16 50 06.0,
 2022-Nov-11 00:00,*, , 03 04 14.09, +17 07 41.2,
 2022-Nov-12 00:00,*, , 03 08 24.49, +17 24 52.3,
 2022-Nov-13 00:00,*, , 03 12 34.68, +17 41 37.5,
 2022-Nov-14 00:00,*, , 03 16 44.43, +17 57 55.5,
 2022-Nov-15 00:00,*, , 03 20 53.56, +18 13 45.4,
 2022-Nov-16 00:00,*, , 03 25 01.90, +18 29 06.4,
 2022-Nov-17 00:00,*, , 03 29 09.35, +18 43 58.2,
 2022-Nov-18 00:00,*, , 03 33 15.85, +18 58 20.8,
